,Unnamed: 0,code_p,Inventory value,Inventory,Total orders,total 23,AV23,multiplier,Minimum stock,purchase_r,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Month,Value
142,142,15005,0,0,600,351,39,5,197,342,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Novermber,37
143,143,15005,0,0,600,351,39,5,197,342,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,December,0
144,144,150055,4550,130,0,74,6,5,32,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,January,10
145,145,150055,4550,130,0,74,6,5,32,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,February,1
146,146,150055,4550,130,0,74,6,5,32,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,March,7
147,147,150055,4550,130,0,74,6,5,32,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,April,22
148,148,150055,4550,130,0,74,6,5,32,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,May,1
149,149,150055,4550,130,0,74,6,5,32,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,June,1
150,150,150055,4550,130,0,74,6,5,32,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,July,22
151,151,150055,4550,130,0,74,6,5,32,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,August,5
152,152,150055,4550,130,0,74,6,5,32,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,September,2
153,153,150055,4550,130,0,74,6,5,32,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,October,2
154,154,150055,4550,130,0,74,6,5,32,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Novermber,1
155,155,150055,4550,130,0,74,6,5,32,98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,December,0
156,156,150066,4653,99,0,65,3,5,13,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,January,35
157,157,150066,4653,99,0,65,3,5,13,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,February,16
158,158,150066,4653,99,0,65,3,5,13,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,March,0
159,159,150066,4653,99,0,65,3,5,13,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,April,0
