code_p,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Inventory value_normalized,Inventory_normalized,Total orders_normalized,total 23_normalized,AV23_normalized,multiplier_normalized,Minimum stock_normalized,purchase_r_normalized,Month,Value
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561,February_normalized,0.0191387559808612
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561,March_normalized,0.0050251256281407
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561,April_normalized,0.1294642857142857
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561,May_normalized,0.0
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561,June_normalized,0.0
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561,July_normalized,0.0306748466257668
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561,August_normalized,0.077490774907749
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561,September_normalized,0.0482456140350877
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561,October_normalized,0.0282485875706214
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561,Novermber_normalized,0.02
150033,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.7585698252364919,0.4367497691597414,0.0,0.0266940451745379,0.0292682926829268,0.0,0.0259529602595296,0.3392188336008561,December_normalized,0.0049261083743842
15003,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7967933301266634,0.3518005540166205,0.0,0.0595482546201232,0.0097560975609756,0.0,0.0105433901054339,0.3001605136436597,January_normalized,0.125
15003,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7967933301266634,0.3518005540166205,0.0,0.0595482546201232,0.0097560975609756,0.0,0.0105433901054339,0.3001605136436597,February_normalized,0.0669856459330143
15003,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7967933301266634,0.3518005540166205,0.0,0.0595482546201232,0.0097560975609756,0.0,0.0105433901054339,0.3001605136436597,March_normalized,0.1306532663316583
15003,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7967933301266634,0.3518005540166205,0.0,0.0595482546201232,0.0097560975609756,0.0,0.0105433901054339,0.3001605136436597,April_normalized,0.1875
15003,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7967933301266634,0.3518005540166205,0.0,0.0595482546201232,0.0097560975609756,0.0,0.0105433901054339,0.3001605136436597,May_normalized,0.0054054054054054
